point_id,lat,lon
1,31.052841636630184,74.77489445653991
2,30.152508799853468,76.10079354519003
3,31.112195781905452,74.87467022772924
4,29.282445911451163,75.67403329554439
5,27.912479883274546,75.98263505982419
6,30.548459908014866,75.59486814584511
7,31.17099921506986,75.61406300546314
8,29.914708064628655,74.60846131225583
9,30.21277167295216,74.1226687125842
10,31.283023698648943,76.09702218431926
11,30.37651613515787,74.12022650398592
12,29.381580222048974,76.05850151555101
13,32.26637645645241,75.55246422385186
14,30.864014084969774,76.65277930183008
15,31.40708341922974,75.06230998197017
16,28.983458040686763,76.56889029276813
17,27.94959612605834,77.25726085459807
18,30.28808702284731,75.0187657422332
19,29.061129143860988,76.15767781283239
20,29.82883300661542,75.22090201627866
21,30.386201020642005,74.15475834204551
22,30.513379247454704,74.48137013445495
23,29.403203432588562,75.65193258354533
24,31.145086733736107,75.55730142613339
25,30.36462897209218,76.2521358538061
26,29.541913005029247,74.68790357537908
27,30.445654289666592,76.17299754504201
28,30.79283552426183,74.45690728434961
29,31.01679384799843,76.4220258170782
30,30.245960499007637,74.73444876509441
31,28.432258095260213,76.4002085768244
32,30.14613587097056,74.03191620573581
33,30.324671803024685,75.95248662206795
34,31.26557737543574,76.4238482226904
35,29.939426652346175,74.88471466110556
36,28.2400828729696,76.77391631904308
37,29.668464809913825,74.8790825430433
38,29.687352378319815,75.11830038292638
39,28.671007450917894,76.5632273083528
40,31.011994380138415,76.11564107192198
41,28.924094416188474,76.71889609455185
42,29.937431803903987,75.67531271931176
43,29.8832966372315,75.15171091197237
44,31.812570428328392,75.47410907391708
45,31.438701744013517,75.47129796262286
46,29.90089926002794,75.88059905218431
47,28.57610121961332,76.50473038670056
48,30.65636293693821,74.8870394558399
49,31.409053219222887,75.0931318230931
50,31.65772170960218,75.78456594736963
51,29.393818316652563,76.7480776249297
52,31.813291089764228,75.8384084982199
53,29.941502816473665,75.5635816492856
54,30.04836742264631,76.59668221464393
55,29.303725429841982,75.15656458032151
56,30.905479438356053,74.89910344473432
57,28.753955853979793,76.87857888737308
58,29.64122298881314,76.87589205481973
59,30.886000342601033,76.03120590333032
60,32.19291635518442,75.56236882913403
61,30.295587456998657,74.99720553044263
62,29.357075366212626,75.93677379724093
63,30.015556491824494,74.76850188981261
64,31.038518037425753,74.75925442866595
